filename,path,pred,conf,second,second_conf,status
007766.jpg,007766.jpg,swd,1.0000,others,0.0000,unknown_class
000219.jpg,000219.jpg,swd,1.0000,others,0.0000,unknown_class
006194.jpg,006194.jpg,swd,1.0000,others,0.0000,unknown_class
000488.jpg,000488.jpg,swd,1.0000,others,0.0000,unknown_class
000517.jpg,000517.jpg,swd,1.0000,others,0.0000,unknown_class
002961.jpg,002961.jpg,swd,1.0000,others,0.0000,unknown_class
007601.jpg,007601.jpg,swd,1.0000,mayswd,0.0000,unknown_class
003241.jpg,003241.jpg,swd,1.0000,others,0.0000,unknown_class
005729.jpg,005729.jpg,swd,1.0000,others,0.0000,unknown_class
001868.jpg,001868.jpg,swd,1.0000,others,0.0000,unknown_class
000957.jpg,000957.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001190.jpg,001190.jpg,swd,1.0000,others,0.0000,unknown_class
003069.jpg,003069.jpg,swd,1.0000,others,0.0000,unknown_class
001214.jpg,001214.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002458.jpg,002458.jpg,swd,1.0000,others,0.0000,unknown_class
001102.jpg,001102.jpg,swd,1.0000,others,0.0000,unknown_class
000841.jpg,000841.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000799.jpg,000799.jpg,swd,1.0000,mayswd,0.0000,unknown_class
004530.jpg,004530.jpg,swd,1.0000,others,0.0000,unknown_class
001259.jpg,001259.jpg,swd,1.0000,others,0.0000,unknown_class
000438.jpg,000438.jpg,swd,1.0000,others,0.0000,unknown_class
002548.jpg,002548.jpg,swd,1.0000,others,0.0000,unknown_class
001403.jpg,001403.jpg,swd,1.0000,others,0.0000,unknown_class
001098.jpg,001098.jpg,swd,1.0000,others,0.0000,unknown_class
001321.jpg,001321.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001518.jpg,001518.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002041.jpg,002041.jpg,swd,1.0000,others,0.0000,unknown_class
001074.jpg,001074.jpg,swd,1.0000,others,0.0000,unknown_class
008175.jpg,008175.jpg,swd,1.0000,others,0.0000,unknown_class
003936.jpg,003936.jpg,swd,1.0000,others,0.0000,unknown_class
000861.jpg,000861.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001818.jpg,001818.jpg,swd,1.0000,others,0.0000,unknown_class
004183.jpg,004183.jpg,swd,1.0000,others,0.0000,unknown_class
000171.jpg,000171.jpg,swd,1.0000,others,0.0000,unknown_class
005343.jpg,005343.jpg,swd,1.0000,others,0.0000,unknown_class
002625.jpg,002625.jpg,swd,1.0000,others,0.0000,unknown_class
002369.jpg,002369.jpg,swd,1.0000,others,0.0000,unknown_class
000687.jpg,000687.jpg,swd,1.0000,mayswd,0.0000,unknown_class
002445.jpg,002445.jpg,swd,1.0000,others,0.0000,unknown_class
000322.jpg,000322.jpg,swd,1.0000,others,0.0000,unknown_class
006468.jpg,006468.jpg,swd,1.0000,others,0.0000,unknown_class
004061.jpg,004061.jpg,swd,1.0000,others,0.0000,unknown_class
002610.jpg,002610.jpg,swd,1.0000,others,0.0000,unknown_class
007715.jpg,007715.jpg,swd,1.0000,others,0.0000,unknown_class
000297.jpg,000297.jpg,swd,1.0000,others,0.0000,unknown_class
000200.jpg,000200.jpg,swd,1.0000,others,0.0000,unknown_class
001195.jpg,001195.jpg,swd,1.0000,others,0.0000,unknown_class
004070.jpg,004070.jpg,swd,1.0000,others,0.0000,unknown_class
000790.jpg,000790.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000446.jpg,000446.jpg,swd,1.0000,mayswd,0.0000,unknown_class
005104.jpg,005104.jpg,swd,1.0000,others,0.0000,unknown_class
008241.jpg,008241.jpg,swd,1.0000,others,0.0000,unknown_class
005280.jpg,005280.jpg,swd,1.0000,others,0.0000,unknown_class
000440.jpg,000440.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000279.jpg,000279.jpg,swd,1.0000,mayswd,0.0000,unknown_class
005337.jpg,005337.jpg,swd,1.0000,others,0.0000,unknown_class
000849.jpg,000849.jpg,swd,1.0000,others,0.0000,unknown_class
002679.jpg,002679.jpg,swd,1.0000,others,0.0000,unknown_class
000665.jpg,000665.jpg,swd,1.0000,others,0.0000,unknown_class
004642.jpg,004642.jpg,swd,1.0000,others,0.0000,unknown_class
001601.jpg,001601.jpg,swd,1.0000,others,0.0000,unknown_class
000893.jpg,000893.jpg,swd,1.0000,mayswd,0.0000,unknown_class
003524.jpg,003524.jpg,swd,1.0000,others,0.0000,unknown_class
004022.jpg,004022.jpg,swd,1.0000,others,0.0000,unknown_class
000591.jpg,000591.jpg,swd,1.0000,others,0.0000,unknown_class
001069.jpg,001069.jpg,swd,1.0000,others,0.0000,unknown_class
005060.jpg,005060.jpg,swd,1.0000,others,0.0000,unknown_class
001673.jpg,001673.jpg,swd,1.0000,others,0.0000,unknown_class
000144.jpg,000144.jpg,swd,1.0000,mayswd,0.0000,unknown_class
006431.jpg,006431.jpg,swd,1.0000,others,0.0000,unknown_class
003870.jpg,003870.jpg,swd,1.0000,others,0.0000,unknown_class
005969.jpg,005969.jpg,swd,1.0000,others,0.0000,unknown_class
001265.jpg,001265.jpg,swd,1.0000,mayswd,0.0000,unknown_class
001730.jpg,001730.jpg,others,1.0000,mayswd,0.0000,unknown_class
002829.jpg,002829.jpg,swd,1.0000,others,0.0000,unknown_class
000949.jpg,000949.jpg,swd,1.0000,mayswd,0.0000,unknown_class
000216.jpg,000216.jpg,swd,1.0000,others,0.0000,unknown_class
003808.jpg,003808.jpg,swd,1.0000,others,0.0000,unknown_class
002659.jpg,002659.jpg,swd,1.0000,others,0.0000,unknown_class
001089.jpg,001089.jpg,swd,1.0000,others,0.0000,unknown_class
001799.jpg,001799.jpg,swd,1.0000,others,0.0000,unknown_class
004504.jpg,004504.jpg,swd,1.0000,others,0.0000,unknown_class
001160.jpg,001160.jpg,swd,1.0000,others,0.0000,unknown_class
001802.jpg,001802.jpg,swd,1.0000,others,0.0000,unknown_class
