path,datetime,focal,resolution,date,time,gap_time
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0637_680.jpg,2024-08-27 06:37:00,680,4656x3496,2024-08-27,06:37:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0701_540.jpg,2024-08-27 07:01:00,540,4656x3496,2024-08-27,07:01:00,24.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0703_580.jpg,2024-08-27 07:03:00,580,4656x3496,2024-08-27,07:03:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0704_600.jpg,2024-08-27 07:04:00,600,4656x3496,2024-08-27,07:04:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0705_640.jpg,2024-08-27 07:05:00,640,4656x3496,2024-08-27,07:05:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0707_680.jpg,2024-08-27 07:07:00,680,4656x3496,2024-08-27,07:07:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0731_540.jpg,2024-08-27 07:31:00,540,4656x3496,2024-08-27,07:31:00,24.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0733_580.jpg,2024-08-27 07:33:00,580,4656x3496,2024-08-27,07:33:00,2.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0734_600.jpg,2024-08-27 07:34:00,600,4656x3496,2024-08-27,07:34:00,1.0
/home/tianqi/D/01_Projects/01_swd/02_code/pipeline/ultralytics_ty/_ty/01_data/a04_whole_raw_data/ms2_0605_0923/0827_0735_640.jpg,2024-08-27 07:35:00,640,4656x3496,2024-08-27,07:35:00,1.0
