capture_datetime,capture_date,capture_time,hour,doy,confidence_mass_max,pred_count_max,detection_rate_max,focus_selected,num_focus_available,num_focus_detected,any_focus_detected,confidence_mass_range_across_focus,confidence_mass_std_across_focus
2024-06-13 14:01:00,2024-06-13,14:01:00,14,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 14:31:00,2024-06-13,14:31:00,14,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 15:01:00,2024-06-13,15:01:00,15,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 15:31:00,2024-06-13,15:31:00,15,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 16:01:00,2024-06-13,16:01:00,16,165,0.857097327709198,1,1.0,700,1,1,1,0.0,0.0
2024-06-13 16:31:00,2024-06-13,16:31:00,16,165,0.8535254597663879,1,1.0,700,1,1,1,0.0,0.0
2024-06-13 17:01:00,2024-06-13,17:01:00,17,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 17:31:00,2024-06-13,17:31:00,17,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 18:01:00,2024-06-13,18:01:00,18,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 18:31:00,2024-06-13,18:31:00,18,165,0.8639758825302124,1,1.0,700,1,1,1,0.0,0.0
2024-06-13 19:01:00,2024-06-13,19:01:00,19,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 19:31:00,2024-06-13,19:31:00,19,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 20:01:00,2024-06-13,20:01:00,20,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-13 20:31:00,2024-06-13,20:31:00,20,165,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 06:01:00,2024-06-14,06:01:00,6,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 06:31:00,2024-06-14,06:31:00,6,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 07:01:00,2024-06-14,07:01:00,7,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 07:31:00,2024-06-14,07:31:00,7,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 08:01:00,2024-06-14,08:01:00,8,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 08:31:00,2024-06-14,08:31:00,8,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 09:01:00,2024-06-14,09:01:00,9,166,2.646242022514344,3,1.0,700,1,1,1,0.0,0.0
2024-06-14 09:31:00,2024-06-14,09:31:00,9,166,3.5577704906463623,4,1.0,700,1,1,1,0.0,0.0
2024-06-14 10:01:00,2024-06-14,10:01:00,10,166,4.44887912273407,5,1.0,700,1,1,1,0.0,0.0
2024-06-14 10:31:00,2024-06-14,10:31:00,10,166,4.445930540561676,5,1.0,700,1,1,1,0.0,0.0
2024-06-14 11:01:00,2024-06-14,11:01:00,11,166,3.569140076637268,4,1.0,700,1,1,1,0.0,0.0
2024-06-14 11:31:00,2024-06-14,11:31:00,11,166,2.6966536045074463,3,1.0,700,1,1,1,0.0,0.0
2024-06-14 12:01:00,2024-06-14,12:01:00,12,166,0.9008256196975708,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 12:31:00,2024-06-14,12:31:00,12,166,0.8837634921073914,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 13:01:00,2024-06-14,13:01:00,13,166,0.8784155249595642,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 13:31:00,2024-06-14,13:31:00,13,166,0.8771507740020752,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 14:01:00,2024-06-14,14:01:00,14,166,0.8841150999069214,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 14:31:00,2024-06-14,14:31:00,14,166,1.751153588294983,2,1.0,700,1,1,1,0.0,0.0
2024-06-14 15:01:00,2024-06-14,15:01:00,15,166,1.7538617849349976,2,1.0,700,1,1,1,0.0,0.0
2024-06-14 15:31:00,2024-06-14,15:31:00,15,166,1.774754762649536,2,1.0,700,1,1,1,0.0,0.0
2024-06-14 16:01:00,2024-06-14,16:01:00,16,166,0.9095650911331176,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 16:31:00,2024-06-14,16:31:00,16,166,0.893552839756012,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 17:01:00,2024-06-14,17:01:00,17,166,0.9018859267234802,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 17:31:00,2024-06-14,17:31:00,17,166,0.8776780366897583,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 18:01:00,2024-06-14,18:01:00,18,166,0.8632067441940308,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 18:31:00,2024-06-14,18:31:00,18,166,0.8795027732849121,1,1.0,700,1,1,1,0.0,0.0
2024-06-14 19:01:00,2024-06-14,19:01:00,19,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 19:31:00,2024-06-14,19:31:00,19,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 20:01:00,2024-06-14,20:01:00,20,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-14 20:31:00,2024-06-14,20:31:00,20,166,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 06:00:00,2024-06-15,06:00:00,6,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 06:30:00,2024-06-15,06:30:00,6,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 07:00:00,2024-06-15,07:00:00,7,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 07:30:00,2024-06-15,07:30:00,7,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 08:00:00,2024-06-15,08:00:00,8,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 08:30:00,2024-06-15,08:30:00,8,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 09:00:00,2024-06-15,09:00:00,9,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 09:30:00,2024-06-15,09:30:00,9,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 10:00:00,2024-06-15,10:00:00,10,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 10:30:00,2024-06-15,10:30:00,10,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 11:00:00,2024-06-15,11:00:00,11,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 11:30:00,2024-06-15,11:30:00,11,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 12:00:00,2024-06-15,12:00:00,12,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 12:30:00,2024-06-15,12:30:00,12,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 13:00:00,2024-06-15,13:00:00,13,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 13:30:00,2024-06-15,13:30:00,13,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 14:00:00,2024-06-15,14:00:00,14,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 14:30:00,2024-06-15,14:30:00,14,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 15:00:00,2024-06-15,15:00:00,15,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 15:30:00,2024-06-15,15:30:00,15,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 16:00:00,2024-06-15,16:00:00,16,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 16:30:00,2024-06-15,16:30:00,16,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 17:00:00,2024-06-15,17:00:00,17,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 17:30:00,2024-06-15,17:30:00,17,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 18:00:00,2024-06-15,18:00:00,18,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 18:30:00,2024-06-15,18:30:00,18,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 19:00:00,2024-06-15,19:00:00,19,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 19:30:00,2024-06-15,19:30:00,19,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 20:00:00,2024-06-15,20:00:00,20,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 20:30:00,2024-06-15,20:30:00,20,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-15 21:05:00,2024-06-15,21:05:00,21,167,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 06:00:00,2024-06-16,06:00:00,6,168,0.8654230833053589,1,1.0,700,1,1,1,0.0,0.0
2024-06-16 06:30:00,2024-06-16,06:30:00,6,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 07:00:00,2024-06-16,07:00:00,7,168,0.8555739521980286,1,1.0,700,1,1,1,0.0,0.0
2024-06-16 07:30:00,2024-06-16,07:30:00,7,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 08:00:00,2024-06-16,08:00:00,8,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 08:30:00,2024-06-16,08:30:00,8,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 09:00:00,2024-06-16,09:00:00,9,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 09:30:00,2024-06-16,09:30:00,9,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 10:00:00,2024-06-16,10:00:00,10,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 10:30:00,2024-06-16,10:30:00,10,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 11:00:00,2024-06-16,11:00:00,11,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 11:30:00,2024-06-16,11:30:00,11,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 12:00:00,2024-06-16,12:00:00,12,168,0.0,0,0.0,700,1,0,0,0.0,0.0
2024-06-16 12:30:00,2024-06-16,12:30:00,12,168,0.8596748113632202,1,1.0,700,1,1,1,0.0,0.0
2024-06-16 13:00:00,2024-06-16,13:00:00,13,168,0.0,0,0.0,700,1,0,0,0.0,0.0
